Frame,Frame Duration in Nanoseconds,,,,16045187.87,771064.592
287,16698900,,,,,
288,16335500,,,,,
289,17968100,,,,,
290,16620400,,,,,
291,16181900,,,,,
292,16181500,,,,,
293,17283600,,,,,
294,16529400,,,,,
295,16052000,,,,,
296,15345600,,,,,
297,16006700,,,,,
298,16390300,,,,,
299,16712700,,,,,
300,16660200,,,,,
301,17064300,,,,,
302,15374400,,,,,
303,15680300,,,,,
304,15328200,,,,,
305,15987800,,,,,
306,17711000,,,,,
307,16298100,,,,,
308,15245400,,,,,
309,15794000,,,,,
310,15244000,,,,,
311,16304300,,,,,
312,16307200,,,,,
313,16237100,,,,,
314,16881100,,,,,
315,16535900,,,,,
316,15886300,,,,,
317,15641200,,,,,
318,15181700,,,,,
319,15347500,,,,,
320,15681700,,,,,
321,14862300,,,,,
322,15249100,,,,,
323,15893900,,,,,
324,15542700,,,,,
325,17088200,,,,,
326,17417800,,,,,
327,17284000,,,,,
328,16452600,,,,,
329,17769300,,,,,
330,16554800,,,,,
331,16561500,,,,,
332,17711500,,,,,
333,16797800,,,,,
334,14600200,,,,,
335,15734200,,,,,
336,15206000,,,,,
337,16392200,,,,,
338,16513800,,,,,
339,16556500,,,,,
340,17254900,,,,,
341,17249200,,,,,
342,15496300,,,,,
343,16002500,,,,,
344,15292000,,,,,
345,15309900,,,,,
346,15942300,,,,,
347,15721600,,,,,
348,15116300,,,,,
349,15964300,,,,,
350,15990600,,,,,
351,16613500,,,,,
352,16433200,,,,,
353,18241400,,,,,
354,17114500,,,,,
355,16669000,,,,,
356,15777400,,,,,
357,17220400,,,,,
358,17549000,,,,,
359,16037000,,,,,
360,15233300,,,,,
361,15718600,,,,,
362,15416200,,,,,
363,16009700,,,,,
364,15680700,,,,,
365,15726900,,,,,
366,15280300,,,,,
367,18046800,,,,,
368,16143700,,,,,
369,16824500,,,,,
370,15342300,,,,,
371,18540400,,,,,
372,16368000,,,,,
373,15473400,,,,,
374,14875700,,,,,
375,16023600,,,,,
376,16197700,,,,,
377,16670000,,,,,
378,16398000,,,,,
379,17349200,,,,,
380,16349500,,,,,
381,15757600,,,,,
382,15329400,,,,,
383,15709400,,,,,
384,15407400,,,,,
385,16622700,,,,,
386,15501900,,,,,
387,15844100,,,,,
388,15510000,,,,,
389,16629000,,,,,
390,16435600,,,,,
391,16899500,,,,,
392,17836800,,,,,
393,17213500,,,,,
394,16381200,,,,,
395,16422000,,,,,
396,16364600,,,,,
397,16535400,,,,,
398,17456600,,,,,
399,17609900,,,,,
400,15688700,,,,,
401,16285700,,,,,
402,15482800,,,,,
403,16124000,,,,,
404,16265200,,,,,
405,16567900,,,,,
406,17580100,,,,,
407,17274700,,,,,
408,15567500,,,,,
409,15250400,,,,,
410,14745300,,,,,
411,15998300,,,,,
412,15274500,,,,,
413,15028900,,,,,
414,15438200,,,,,
415,16525500,,,,,
416,15951900,,,,,
417,15637900,,,,,
418,15315200,,,,,
419,16912300,,,,,
420,16553600,,,,,
421,16976000,,,,,
422,16417800,,,,,
423,16841800,,,,,
424,17367300,,,,,
425,16732900,,,,,
426,15086900,,,,,
427,15577100,,,,,
428,15129400,,,,,
429,15690500,,,,,
430,15559300,,,,,
431,16495500,,,,,
432,16312600,,,,,
433,17171200,,,,,
434,16645500,,,,,
435,16793400,,,,,
436,16753300,,,,,
437,17274300,,,,,
438,16423800,,,,,
439,16700100,,,,,
440,16133100,,,,,
441,15863300,,,,,
442,14953700,,,,,
443,15616500,,,,,
444,15072500,,,,,
445,15712200,,,,,
446,15354600,,,,,
447,15008800,,,,,
448,15271900,,,,,
449,15754900,,,,,
450,15993900,,,,,
451,16411000,,,,,
452,15456400,,,,,
453,16251500,,,,,
454,15766200,,,,,
455,16697300,,,,,
456,16412300,,,,,
457,17492600,,,,,
458,16668200,,,,,
459,16963000,,,,,
460,16598500,,,,,
461,17006000,,,,,
462,16568700,,,,,
463,17373400,,,,,
464,15212700,,,,,
465,15342100,,,,,
466,14914800,,,,,
467,15350600,,,,,
468,15147700,,,,,
469,15826100,,,,,
470,15727800,,,,,
471,17761700,,,,,
472,16007500,,,,,
473,16608700,,,,,
474,15875900,,,,,
475,16040000,,,,,
476,15424700,,,,,
477,17812800,,,,,
478,15903600,,,,,
479,15064600,,,,,
480,14756200,,,,,
481,16252800,,,,,
482,15878900,,,,,
483,15157000,,,,,
484,15240300,,,,,
485,16623200,,,,,
486,15666100,,,,,
487,15981600,,,,,
488,16374400,,,,,
489,17004500,,,,,
490,16657100,,,,,
491,17511900,,,,,
492,15219800,,,,,
493,15821300,,,,,
494,15298000,,,,,
495,15941100,,,,,
496,16259000,,,,,
497,16582600,,,,,
498,16111200,,,,,
499,18310800,,,,,
500,16011700,,,,,
501,16664100,,,,,
502,15438500,,,,,
503,16706800,,,,,
504,15208600,,,,,
505,15679000,,,,,
506,14597400,,,,,
507,15194100,,,,,
508,16408200,,,,,
509,16924900,,,,,
510,16217000,,,,,
511,17055500,,,,,
512,16493200,,,,,
513,16694700,,,,,
514,16560600,,,,,
515,17778600,,,,,
516,16813000,,,,,
517,15964500,,,,,
518,15006000,,,,,
519,15681100,,,,,
520,15704700,,,,,
521,16668400,,,,,
522,16542500,,,,,
523,17020000,,,,,
524,17537700,,,,,
525,17422500,,,,,
526,16548800,,,,,
527,17154300,,,,,
528,16150500,,,,,
529,18102800,,,,,
530,15256400,,,,,
531,15749800,,,,,
532,15291000,,,,,
533,16105200,,,,,
534,16435100,,,,,
535,16885800,,,,,
536,16497300,,,,,
537,16833200,,,,,
538,17784100,,,,,
539,17502300,,,,,
540,16115100,,,,,
541,17498500,,,,,
542,17002800,,,,,
543,16630200,,,,,
544,14795800,,,,,
545,15846900,,,,,
546,15929200,,,,,
547,16915800,,,,,
548,16615700,,,,,
549,16717300,,,,,
550,17138900,,,,,
551,18186700,,,,,
552,16917000,,,,,
553,16605900,,,,,
554,16401000,,,,,
555,17978600,,,,,
556,15657900,,,,,
557,15846700,,,,,
558,15080300,,,,,
559,16053900,,,,,
560,16167300,,,,,
561,16751600,,,,,
562,16422500,,,,,
563,17447000,,,,,
564,16727100,,,,,
565,15881500,,,,,
566,14992000,,,,,
567,15504100,,,,,
568,15203400,,,,,
569,15926100,,,,,
570,14485500,,,,,
571,15612300,,,,,
572,14763500,,,,,
573,15281000,,,,,
574,14679000,,,,,
575,15246600,,,,,
576,15615400,,,,,
577,17939500,,,,,
578,16666400,,,,,
579,16628200,,,,,
580,15377100,,,,,
581,15114800,,,,,
582,15293100,,,,,
583,15445400,,,,,
584,14443800,,,,,
585,14586100,,,,,
586,14546100,,,,,
587,15809000,,,,,
588,14902800,,,,,
589,15495600,,,,,
590,14930800,,,,,
591,15626200,,,,,
592,15275600,,,,,
593,15651900,,,,,
594,15637700,,,,,
595,17581600,,,,,
596,15630900,,,,,
597,15369900,,,,,
598,15070300,,,,,
599,15505300,,,,,
600,14878300,,,,,
601,15715300,,,,,
602,14885000,,,,,
603,15245600,,,,,
604,15703300,,,,,
605,16271600,,,,,
606,15006900,,,,,
607,15924200,,,,,
608,16460200,,,,,
609,17959100,,,,,
610,15630200,,,,,
611,15665500,,,,,
612,15347700,,,,,
613,15935800,,,,,
614,16174200,,,,,
615,16913500,,,,,
616,16368000,,,,,
617,17532400,,,,,
618,16533900,,,,,
619,15896100,,,,,
620,15172100,,,,,
621,16044200,,,,,
622,15865100,,,,,
623,15447100,,,,,
624,14988700,,,,,
625,16005100,,,,,
626,15769400,,,,,
627,15662400,,,,,
628,15013700,,,,,
629,15584500,,,,,
630,15968700,,,,,
631,16366000,,,,,
632,16478100,,,,,
633,17119400,,,,,
634,17322500,,,,,
635,16851000,,,,,
636,15612800,,,,,
637,16220300,,,,,
638,15852000,,,,,
639,16803700,,,,,
640,16489100,,,,,
641,17051300,,,,,
642,16340700,,,,,
643,18724500,,,,,
644,16477400,,,,,
645,16438600,,,,,
646,16250400,,,,,
647,16397100,,,,,
648,14249600,,,,,
649,15536000,,,,,
650,15484100,,,,,
651,16213100,,,,,
652,16382600,,,,,
653,17284300,,,,,
654,17421000,,,,,
655,17494800,,,,,
656,16619200,,,,,
657,16839800,,,,,
658,16475000,,,,,
659,16317400,,,,,
660,17833800,,,,,
661,17114500,,,,,
